parent_process_md5,parent_process_sha1,parent_process_sha256,parent_process_creation_date,process_id,agentid,elastic_id,usernames_id,agent_id,event_type,year,month,day,hour,parent_executablepath,executable_path,computername,parent_process_owner,process_owner,process_domain,parent_process_name,process_name,tenant_id,command_line,parent_command_line
,,,,"{""int"": 5700, ""string"": null}",60ba53ba2cf7602fac7467b672fa4193,F0iuf3wB0-fRXDnoEyrz,,,user_process_execs,2021,10,14,16,c:\dir_a_j\dir_b_j32\executable_181,c:\dir_a_j\dir_b_j32\executable_162,name_29,name_478,name_478,name_640,executable_181,executable_162,tenant_c,\??\c:\windows\system32\conhost.exe 0xffffffff -forcev1,
,,,,"{""int"": null, ""string"": ""17008""}",6fdfc785d72799667f54887abbb48219,j_l_gHwBxoofP3v-oHFd,848.0,,user_process_execs,2021,10,14,20,,c:\dir_a_b\dir_b_df\dir_c_i\dir_d_d\dir_e_j\dir_f_j\dir_g_j\executable_160,test_12fc65c4-ef8f-3388-a198-1d3053f11a10_name_69,,name_569,name_641,asdf_0x195ab829c_executable_5,executable_160,tenant_c,"""C:\Users\jhemingway\AppData\Local\Microsoft\Teams\current\Teams.exe"" --type=renderer --autoplay-policy=no-user-gesture-required --disable-background-timer-throttling --field-trial-handle=1692,16832877433639746553,15736202276753315008,131072 --enable-features=ContextBridgeMutability,WebComponentsV0Enabled,WinUseBrowserSpellChecker,WinUseHybridSpellChecker --disable-features=CookiesWithoutSameSiteMustBeSecure,SameSiteByDefaultCookies,SpareRendererForSitePerProcess --lang=en-US --enable-wer --ms-teams-less-cors=522133263 --app-user-model-id=com.squirrel.Teams.Teams --app-path=""C:\Users\jhemingway\AppData\Local\Microsoft\Teams\current\resources\app.asar"" --device-scale-factor=1 --num-raster-threads=2 --enable-main-frame-before-activation --renderer-client-id=202 --no-v8-untrusted-code-mitigations --mojo-platform-channel-handle=7688 /prefetch:1",
,,,,"{""int"": 11268, ""string"": null}",171e1e972f703b7cd3721c19de438886,WRE_gHwBNpbLFxe_yDXQ,182.0,,user_process_execs,2021,10,14,19,c:\dir_a_c\dir_b_bg\dir_c_ec\executable_458,c:\dir_a_c\dir_b_bg\dir_c_ec\dir_d_ei\executable_231,asdf_0x131acde8918c_name_1,name_497,name_497,name_644,executable_458,executable_231,tenant_e,"""c:\program files\adobe\adobe creative cloud experience\libs\node.exe"" ""c:\program files\adobe\adobe creative cloud experience\js\main.js""",
,,,,"{""int"": 13048, ""string"": null}",60ba53ba2cf7602fac7467b672fa4193,mrSuf3wBD4PMs8-YEYPs,,,user_process_execs,2021,10,14,16,c:\dir_a_j\dir_b_j32\executable_163,c:\dir_a_j\dir_b_bh64\dir_c_db\executable_164,name_44,name_534,name_534,name_640,executable_163,executable_164,tenant_c,c:\windows\syswow64\wbem\wmiprvse.exe -secured -embedding,
,,,,"{""int"": null, ""string"": """"}",3efec2faf762fbcdebfd4b5ac13ee533,svowgHwBRALE72vTy3SK,57.0,,user_process_execs,2021,10,14,18,,,name_150,,,,,,tenant_e,,
,,,,"{""int"": null, ""string"": """"}",bbdb0d68baffacd92d7b12248a22d426,cRcffnwBqhyjhem8-twe,,,user_process_execs,2021,10,14,9,,,name_57,,,,,,tenant_c,,
,,,,"{""int"": 8400, ""string"": null}",d21ccb047b8d3d72c695101918096f9d,nz22d3wBRALE72vTKvfu,,,user_process_execs,2021,10,13,3,c:\dir_a_j\dir_b_j32\executable_398,c:\dir_a_j\dir_b_if\executable_176,name_5,name_495,name_495,name_640,executable_398,executable_176,tenant_c,,
,,,,"{""int"": 11616, ""string"": null}",60ba53ba2cf7602fac7467b672fa4193,jMcfgXwBNBIFWOYH2HUS,,,user_process_execs,2021,10,14,23,c:\dir_a_j\dir_b_j32\executable_163,c:\dir_a_j\dir_b_j32\executable_214,name_37,name_489,name_489,name_640,executable_163,executable_214,tenant_c,c:\windows\system32\mousocoreworker.exe -embedding,
,,,,"{""int"": 2908, ""string"": null}",60ba53ba2cf7602fac7467b672fa4193,lZZXeXwBdqP6iFOWa8FS,,,user_process_execs,2021,10,13,11,c:\dir_a_j\dir_b_j32\executable_163,c:\dir_a_j\dir_b_fj\dir_c_bd64_microsoft-windows-servicingstack_31bf3856ad364e35_10.0.19041.1220_none_7e21bc567c7ed16b\executable_173,name_40,name_487,name_487,name_640,executable_163,executable_173,tenant_c,c:\windows\winsxs\amd64_microsoft-windows-servicingstack_31bf3856ad364e35_10.0.19041.1220_none_7e21bc567c7ed16b\tiworker.exe -embedding,
,,,,"{""int"": 21516, ""string"": null}",60ba53ba2cf7602fac7467b672fa4193,wFYOfXwBDac3IFZAw4Ut,,,user_process_execs,2021,10,14,4,c:\dir_a_j\dir_b_j32\executable_163,c:\dir_a_j\dir_b_j32\executable_170,name_39,name_512,name_512,name_640,executable_163,executable_170,tenant_c,taskhostw.exe,
,,,,"{""int"": null, ""string"": """"}",e56d7648eb6abe682e03d86112332fe4,AKmgf3wBD4PMs8-Y6ZZV,139.0,,user_process_execs,2021,10,14,16,,,name_168,,,,,,tenant_e,,
,,,,"{""int"": 11012, ""string"": null}",090324aef9b906c8ae71836c0f81eb58,nRVpeHwBUJtdm8RqNj8n,1551.0,,user_process_execs,2021,10,13,6,c:\dir_a_b\dir_b_da\dir_c_i\dir_d_d\dir_e_j\dir_f_j\dir_g_j\executable_160,c:\dir_a_b\dir_b_da\dir_c_i\dir_d_d\dir_e_j\dir_f_j\dir_g_j\executable_160,name_31,name_576,name_576,name_640,executable_160,executable_160,tenant_c,"""c:\users\mfoor\appdata\local\microsoft\teams\current\teams.exe"" --type=renderer --autoplay-policy=no-user-gesture-required --disable-background-timer-throttling --field-trial-handle=1704,12187746053378305090,10435901735366159898,131072 --enable-features=contextbridgemutability,webcomponentsv0enabled,winusebrowserspellchecker,winusehybridspellchecker --disable-features=cookieswithoutsamesitemustbesecure,samesitebydefaultcookies,sparerendererforsiteperprocess --lang=en-us --enable-wer --ms-teams-less-cors=522133263 --app-user-model-id=com.squirrel.teams.teams --app-path=""c:\users\mfoor\appdata\local\microsoft\teams\current\resources\app.asar"" --device-scale-factor=1 --num-raster-threads=2 --enable-main-frame-before-activation --renderer-client-id=678 --no-v8-untrusted-code-mitigations --mojo-platform-channel-handle=4996 /prefetch:1",
,,,,"{""int"": 6244, ""string"": null}",60ba53ba2cf7602fac7467b672fa4193,OCEhfnwBV1WtlBxDEKPc,,,user_process_execs,2021,10,14,9,c:\dir_a_j\dir_b_j32\executable_276,c:\dir_a_j\dir_b_j32\executable_195,name_12,name_455,name_455,name_640,executable_276,executable_195,tenant_c,schtasks /delete /tn rthdvbg_pushbutton /f,
,,,,"{""int"": 4960, ""string"": null}",f1d4622dfa3e4af504b5a462902c920b,UygeenwBUJtdm8RqoaNK,290.0,,user_process_execs,2021,10,13,14,c:\dir_a_b\dir_b_bd\dir_c_i\dir_d_d\dir_e_j\dir_f_j\dir_g_j\executable_160,c:\dir_a_b\dir_b_bd\dir_c_i\dir_d_d\dir_e_j\dir_f_j\dir_g_j\executable_160,name_20,name_473,name_473,name_640,executable_160,executable_160,tenant_c,"""c:\users\dsanchez\appdata\local\microsoft\teams\current\teams.exe"" --type=renderer --autoplay-policy=no-user-gesture-required --disable-background-timer-throttling --field-trial-handle=1660,1237648822299553471,13559019820295876192,131072 --enable-features=contextbridgemutability,webcomponentsv0enabled,winusebrowserspellchecker,winusehybridspellchecker --disable-features=cookieswithoutsamesitemustbesecure,samesitebydefaultcookies,sparerendererforsiteperprocess --lang=en-us --enable-wer --ms-teams-less-cors=522133263 --app-user-model-id=com.squirrel.teams.teams --app-path=""c:\users\dsanchez\appdata\local\microsoft\teams\current\resources\app.asar"" --device-scale-factor=1 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=26 --no-v8-untrusted-code-mitigations --mojo-platform-channel-handle=5108 /prefetch:1",
,,,,"{""int"": 10612, ""string"": null}",60ba53ba2cf7602fac7467b672fa4193,HfiTf3wBDac3IFZAWM_O,,,user_process_execs,2021,10,14,16,c:\dir_a_j\dir_b_j32\executable_163,c:\dir_a_j\dir_b_j32\dir_c_db\executable_164,name_28,name_481,name_440,name_642,executable_163,executable_164,tenant_c,c:\windows\system32\wbem\wmiprvse.exe -secured -embedding,
,,,,"{""int"": 10944, ""string"": null}",60ba53ba2cf7602fac7467b672fa4193,zCgtfnwB1R6ZJf4-8ira,,,user_process_execs,2021,10,14,9,c:\dir_a_j\dir_b_j32\executable_163,c:\dir_a_j\dir_b_j32\executable_331,name_24,name_467,name_467,name_640,executable_163,executable_331,tenant_c,"""c:\windows\system32\defrag.exe"" -p 9ec -s 00000000000003e8 -b -onlypreferred c:",
,,,,"{""int"": 10772, ""string"": null}",60ba53ba2cf7602fac7467b672fa4193,15kxfnwBXiyPKgRr-q1r,,,user_process_execs,2021,10,14,9,c:\dir_a_j\dir_b_j32\executable_171,c:\dir_a_j\dir_b_j32\executable_211,name_39,name_512,name_512,name_640,executable_171,executable_211,tenant_c,msiexec  /i \\frodo\shared\techfiles\adlumininstaller.msi /qn,
,,,,"{""int"": 25756, ""string"": null}",60ba53ba2cf7602fac7467b672fa4193,JOKXd3wB0-fRXDno1znJ,41.0,,user_process_execs,2021,10,13,2,c:\dir_a_b\dir_b_ae\dir_c_i\dir_d_d\dir_e_j\dir_f_j\dir_g_j\executable_160,c:\dir_a_b\dir_b_ae\dir_c_i\dir_d_d\dir_e_j\dir_f_j\dir_g_j\executable_160,asdf_0x1317acde8918c_name_17,name_476,name_476,name_640,executable_160,executable_160,tenant_c,"""c:\users\msirdoreus\appdata\local\microsoft\teams\current\teams.exe"" --type=renderer --autoplay-policy=no-user-gesture-required --disable-background-timer-throttling --field-trial-handle=1688,10122688844972805558,2169208658767424839,131072 --enable-features=contextbridgemutability,webcomponentsv0enabled,winusebrowserspellchecker,winusehybridspellchecker --disable-features=cookieswithoutsamesitemustbesecure,samesitebydefaultcookies,sparerendererforsiteperprocess --lang=en-us --enable-wer --ms-teams-less-cors=522133263 --app-user-model-id=com.squirrel.teams.teams --app-path=""c:\users\msirdoreus\appdata\local\microsoft\teams\current\resources\app.asar"" --device-scale-factor=1 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=8256 --no-v8-untrusted-code-mitigations --mojo-platform-channel-handle=28264 /prefetch:1",
,,,,"{""int"": 23400, ""string"": null}",60ba53ba2cf7602fac7467b672fa4193,D-BIfHwBDac3IFZAST5N,,,user_process_execs,2021,10,14,0,c:\dir_a_j\dir_b_j32\executable_398,c:\dir_a_j\dir_b_j32\executable_163,name_51,name_525,name_525,name_640,executable_398,executable_163,tenant_c,c:\windows\system32\svchost.exe -k wusvcs -p -s waasmedicsvc,
,,,,"{""int"": 12336, ""string"": null}",60ba53ba2cf7602fac7467b672fa4193,7keId3wBD4PMs8-Ykj1P,,,user_process_execs,2021,10,13,2,c:\dir_a_j\dir_b_j32\executable_163,c:\dir_a_j\dir_b_fj\dir_c_bd64_microsoft-windows-servicingstack_31bf3856ad364e35_10.0.19041.1220_none_7e21bc567c7ed16b\executable_173,name_65,name_615,name_615,name_640,executable_163,executable_173,tenant_c,c:\windows\winsxs\amd64_microsoft-windows-servicingstack_31bf3856ad364e35_10.0.19041.1220_none_7e21bc567c7ed16b\tiworker.exe -embedding,
,,,,"{""int"": null, ""string"": """"}",d2e6b42f43e42825420ab2c7aa0e5c33,VOeXf3wBdqP6iFOWlLO6,160.0,,user_process_execs,2021,10,14,16,,,name_181,,,,,,tenant_e,,
,,,,"{""int"": 13988, ""string"": null}",60ba53ba2cf7602fac7467b672fa4193,Vl6LfnwBV1WtlBxDVkeC,,,user_process_execs,2021,10,14,11,c:\dir_a_j\dir_b_j32\executable_163,c:\dir_a_a86)\dir_b_d\dir_c_ad\executable_182,name_55,name_547,name_547,name_640,executable_163,executable_182,tenant_c,"""c:\program files (x86)\google\update\googleupdate.exe"" /ua /installsource scheduler",
,,,,"{""int"": 11760, ""string"": null}",e28d3fa8be3fed48edacc9228e46668a,i7oLgXwBLwEQS1RKyG5p,,,user_process_execs,2021,10,14,22,c:\dir_a_j\dir_b_j32\executable_163,c:\dir_a_j\dir_b_j32\dir_c_db\executable_164,name_26,name_496,name_496,name_640,executable_163,executable_164,tenant_c,c:\windows\system32\wbem\wmiprvse.exe -secured -embedding,
,,,,"{""int"": 7996, ""string"": null}",60ba53ba2cf7602fac7467b672fa4193,cP7egHwBDac3IFZAOYgB,,,user_process_execs,2021,10,14,22,c:\dir_a_j\dir_b_j32\executable_163,c:\dir_a_j\dir_b_j32\executable_181,name_50,name_529,name_529,name_640,executable_163,executable_181,tenant_c,gpupdate.exe /target:computer,
,,,,"{""int"": 11184, ""string"": null}",32615bbe42c0ae71b1b9e63a0d7008e1,-XNSd3wBUJtdm8RqSfZe,108.0,,user_process_execs,2021,10,13,1,c:\dir_a_j\dir_b_j32\executable_163,c:\dir_a_j\dir_b_j32\executable_193,name_650,name_441,name_444,name_640,executable_163,executable_193,tenant_c,c:\windows\system32\spatialaudiolicensesrv.exe spatialaudiolicenseserverinteractiveuser -embedding,
,,,,"{""int"": 17192, ""string"": null}",60ba53ba2cf7602fac7467b672fa4193,9ps-enwBxoofP3v-_9bc,104.0,,user_process_execs,2021,10,13,15,c:\dir_a_j\dir_b_j32\executable_163,c:\dir_a_j\dir_b_j32\executable_169,name_28,name_481,name_526,name_640,executable_163,executable_169,tenant_c,c:\windows\system32\runtimebroker.exe -embedding,
,,,,"{""int"": 88, ""string"": null}",c63f77b8be8d5904d076fbf8b5412e12,R9odfnwBdqP6iFOWOodP,,,user_process_execs,2021,10,14,9,c:\dir_a_j\dir_b_j32\executable_266,c:\dir_a_j\dir_b_j32\executable_313,name_41,name_538,name_538,name_640,executable_266,executable_313,tenant_c,,
,,,,"{""int"": null, ""string"": """"}",c63a7dd8bcde9802fc2b2d73aa0096ca,EuECgHwBNpbLFxe_fh9O,158.0,,user_process_execs,2021,10,14,18,,,name_120,,,,,,tenant_e,,
,,,,"{""int"": 10832, ""string"": null}",171e1e972f703b7cd3721c19de438886,NaOrfHwBUVIklYwEJyO2,,,user_process_execs,2021,10,14,2,c:\dir_a_j\dir_b_j32\executable_163,c:\dir_a_j\dir_b_bh64\dir_c_db\executable_164,asdf_0x131acde8918c_name_1,name_443,name_443,name_643,executable_163,executable_164,tenant_e,c:\windows\syswow64\wbem\wmiprvse.exe -secured -embedding,
,,,,"{""int"": null, ""string"": """"}",b024b2fe4f374450fa2e58616611d3d3,FTo6enwBdqP6iFOWQrvs,165.0,,user_process_execs,2021,10,13,15,,,name_97,,,,,,tenant_e,,
,,,,"{""int"": 1244, ""string"": null}",ff4a4def5b0da1d493849490701d35a8,lBEefnwBB0gvw5rfkp5i,,,user_process_execs,2021,10,14,9,c:\dir_a_j\dir_b_j32\executable_398,c:\dir_a_j\dir_b_j32\executable_163,name_25,name_475,name_475,name_640,executable_398,executable_163,tenant_c,c:\windows\system32\svchost.exe -k dcomlaunch -p -s lsm,
,,,,"{""int"": 6332, ""string"": null}",60ba53ba2cf7602fac7467b672fa4193,vTesfXwBUVIklYwEDevA,,,user_process_execs,2021,10,14,7,c:\dir_a_j\dir_b_a\dir_c_j64\dir_d_j4.0.30319\executable_185,c:\dir_a_j\dir_b_a\dir_c_j64\dir_d_j4.0.30319\executable_161,name_3,name_490,name_490,name_640,executable_185,executable_161,tenant_c,,
,,,,"{""int"": 15080, ""string"": null}",60ba53ba2cf7602fac7467b672fa4193,0hXrenwB1R6ZJf4-HDA3,,,user_process_execs,2021,10,13,18,c:\dir_a_a86)\dir_b_c\dir_c_c\dir_d_b\executable_353,c:\dir_a_a86)\dir_b_ff\executable_167,name_61,name_501,name_501,name_640,executable_353,executable_167,tenant_c,"""c:\program files (x86)\hitmanpro.alert\hmpalert.exe"" /status",
,,,,"{""int"": 16000, ""string"": null}",60ba53ba2cf7602fac7467b672fa4193,Hi5De3wBDac3IFZAQkBh,1453.0,,user_process_execs,2021,10,13,19,c:\dir_a_a86)\dir_b_bg\dir_c_ac\dir_d_g\executable_330,c:\dir_a_a86)\dir_b_bg\dir_c_ac\dir_d_g\executable_222,asdf_0x1314acde8918c_name_14,name_482,name_482,name_640,executable_330,executable_222,tenant_c,"""c:\program files (x86)\adobe\acrobat reader dc\reader\acrord32.exe"" /l /slmode",
,,,,"{""int"": 6264, ""string"": null}",f16c415a49698803098514dfee4cbf11,awZXeHwBdqP6iFOWS75W,,,user_process_execs,2021,10,13,6,c:\dir_a_j\dir_b_j32\executable_163,c:\dir_a_j\dir_b_j32\dir_c_db\executable_164,name_62,name_543,name_440,name_642,executable_163,executable_164,tenant_c,c:\windows\system32\wbem\wmiprvse.exe -secured -embedding,
,,,,"{""int"": 23696, ""string"": null}",60ba53ba2cf7602fac7467b672fa4193,QgnVenwB0-fRXDnos61R,,,user_process_execs,2021,10,13,17,c:\dir_a_j\dir_b_a\dir_c_j64\dir_d_j4.0.30319\executable_185,c:\dir_a_j\dir_b_a\dir_c_j64\dir_d_j4.0.30319\executable_161,test_9441501d-f633-365a-8955-9df443edc762_name_32,name_494,name_494,name_640,executable_185,executable_161,tenant_c,"c:\windows\microsoft.net\framework64\v4.0.30319\mscorsvw.exe -startupevent 5bc -interruptevent 0 -ngenprocess 580 -pipe 5b0 -comment ""ngen worker process""",
,,,,"{""int"": 9576, ""string"": null}",60ba53ba2cf7602fac7467b672fa4193,Tdjke3wBEhvPAxw3mUJk,,,user_process_execs,2021,10,13,22,c:\dir_a_j\dir_b_j32\executable_163,c:\dir_a_j\dir_b_j32\dir_c_db\executable_164,name_23,name_477,name_440,name_642,executable_163,executable_164,tenant_c,c:\windows\system32\wbem\wmiprvse.exe -secured -embedding,
,,,,"{""int"": 12764, ""string"": null}",60ba53ba2cf7602fac7467b672fa4193,gt2td3wBB0gvw5rfxuRI,,,user_process_execs,2021,10,13,3,c:\dir_a_j\dir_b_j32\executable_163,c:\dir_a_j\dir_b_j32\dir_c_db\executable_164,name_61,name_501,name_440,name_642,executable_163,executable_164,tenant_c,c:\windows\system32\wbem\wmiprvse.exe -secured -embedding,
,,,,"{""int"": 20620, ""string"": null}",60ba53ba2cf7602fac7467b672fa4193,lSbfe3wBUVIklYwErPh6,255.0,,user_process_execs,2021,10,13,22,c:\dir_a_j\dir_b_j32\executable_163,c:\dir_a_j\dir_b_j32\executable_165,name_46,name_539,name_509,name_640,executable_163,executable_165,tenant_c,"""c:\windows\system32\backgroundtaskhost.exe"" -servername:cortanaui.appx3bn25b6f886wmg6twh46972vprk9tnbf.mca",
,,,,"{""int"": 616, ""string"": null}",bbdb0d68baffacd92d7b12248a22d426,qF_QfHwB1R6ZJf4-Fo91,,,user_process_execs,2021,10,14,3,c:\dir_a_j\dir_b_a\dir_c_j64\dir_d_j4.0.30319\executable_185,c:\dir_a_j\dir_b_a\dir_c_j64\dir_d_j4.0.30319\executable_161,name_57,name_517,name_517,name_640,executable_185,executable_161,tenant_c,"c:\windows\microsoft.net\framework64\v4.0.30319\mscorsvw.exe -startupevent 3c8 -interruptevent 0 -ngenprocess 3f8 -pipe 3f0 -comment ""ngen worker process""",
,,,,"{""int"": null, ""string"": """"}",b1e60d1c3b790599ae056f013776ac2a,_xbueXwBDac3IFZA-r9n,,,user_process_execs,2021,10,13,13,,,name_180,,,,,,tenant_e,,
,,,,"{""int"": 7116, ""string"": null}",f78ea8b7cf43a0811ffdf7389527eb32,HVF2fnwB1R6ZJf4-CFMm,,,user_process_execs,2021,10,14,10,c:\dir_a_a86)\dir_b_e\dir_c_g12 agent\executable_39,c:\dir_a_a86)\dir_b_e\dir_c_g12 agent\executable_219,name_6,name_488,name_488,name_640,executable_39,executable_219,tenant_c,,
,,,,"{""int"": 16600, ""string"": null}",798bc6e312b6d66c6038a0ab8df60da4,7mYrfXwBDac3IFZAIMjw,43.0,,user_process_execs,2021,10,14,4,c:\dir_a_j\dir_b_j32\executable_163,c:\dir_a_j\dir_b_j32\executable_169,name_35,name_554,name_469,name_640,executable_163,executable_169,tenant_c,,
,,,,"{""int"": null, ""string"": """"}",60ba53ba2cf7602fac7467b672fa4193,0chPenwBACIhUi-kxFGh,1419.0,,user_process_execs,2021,10,13,15,,,name_40,,,,,,tenant_c,,
,,,,"{""int"": 16136, ""string"": null}",32615bbe42c0ae71b1b9e63a0d7008e1,xTXWfHwBDac3IFZAFxeP,108.0,,user_process_execs,2021,10,14,3,c:\dir_a_j\executable_260,c:\dir_a_a86)\dir_b_ajf\dir_c_fh\executable_267,name_650,name_444,name_444,name_640,executable_260,executable_267,tenant_c,"""c:\program files (x86)\stardock\fences\fences.exe"" /trimlog",
,,,,"{""int"": 16660, ""string"": null}",32615bbe42c0ae71b1b9e63a0d7008e1,vIFIfHwBNBIFWOYHSgaq,108.0,,user_process_execs,2021,10,14,0,c:\dir_a_j\dir_b_j32\executable_163,c:\dir_a_j\dir_b_j32\executable_193,name_650,name_441,name_444,name_640,executable_163,executable_193,tenant_c,c:\windows\system32\spatialaudiolicensesrv.exe spatialaudiolicenseserverinteractiveuser -embedding,
,,,,"{""int"": 8808, ""string"": null}",a10da7cfeae0435f1b377294d0a6795c,isgrfXwBACIhUi-kJOye,,,user_process_execs,2021,10,14,4,asdf_0x197ab829c_executable_7,c:\dir_a_j\dir_b_j32\executable_162,name_87,name_567,name_567,name_640,asdf_0x197ab829c_executable_7,executable_162,tenant_c,\??\c:\windows\system32\conhost.exe 0xffffffff,
,,,,"{""int"": 8684, ""string"": null}",171e1e972f703b7cd3721c19de438886,2nnfenwBLwEQS1RKfklt,,,user_process_execs,2021,10,13,18,c:\dir_a_j\dir_b_j32\executable_171,c:\dir_a_j\dir_b_j32\executable_178,asdf_0x131acde8918c_name_1,name_443,name_443,name_643,executable_171,executable_178,tenant_e,"find  ""state"" ",
,,,,"{""int"": null, ""string"": ""18140""}",c5021203e048fc1b1d4955a9f158711f,Ln98e3wBqhyjhem8oQpz,89.0,,user_process_execs,2021,10,13,20,,c:\dir_a_c\dir_b_ci\dir_c_ah\dir_d_i16\executable_194,name_4,,name_445,name_641,executable_30,executable_194,tenant_c,"""C:\Program Files\Microsoft Office\Root\Office16\SDXHelper.exe"" -Embedding",
,,,,"{""int"": 11456, ""string"": null}",2e7a5ce4ccde281fc1cdee1e7ca1eb76,SRQMf3wBUVIklYwEyRb9,924.0,,user_process_execs,2021,10,14,13,c:\dir_a_j\dir_b_j32\executable_247,c:\dir_a_j\dir_b_j32\executable_171,name_48,name_536,name_536,name_640,executable_247,executable_171,tenant_c,"c:\windows\system32\cmd.exe /c """"\\uniwynet.com\sysvol\uniwynet.com\policies\{31b2f340-016d-11d2-945f-00c04fb984f9}\user\scripts\logon\symform.bat"" """,
,,,,"{""int"": 9512, ""string"": null}",32615bbe42c0ae71b1b9e63a0d7008e1,0p0be3wBNpbLFxe_-Dry,108.0,,user_process_execs,2021,10,13,19,c:\dir_a_j\dir_b_j32\executable_163,c:\dir_a_j\dir_b_j32\executable_193,name_650,name_441,name_444,name_640,executable_163,executable_193,tenant_c,c:\windows\system32\spatialaudiolicensesrv.exe spatialaudiolicenseserverinteractiveuser -embedding,
,,,,"{""int"": 8240, ""string"": null}",e5163defbf789a0e59a1f1f0f0177537,YmjQfHwB0-fRXDnoEvP7,,,user_process_execs,2021,10,14,3,asdf_0x197ab829c_executable_7,c:\dir_a_j\dir_b_j32\executable_327,name_81,name_571,name_571,name_640,asdf_0x197ab829c_executable_7,executable_327,tenant_c,taskhostex.exe ,
,,,,"{""int"": 2028, ""string"": null}",60ba53ba2cf7602fac7467b672fa4193,adgFgHwBRALE72vTszON,,,user_process_execs,2021,10,14,18,c:\dir_a_j\dir_b_a\dir_c_b\dir_d_j4.0.30319\executable_185,c:\dir_a_j\dir_b_a\dir_c_b\dir_d_j4.0.30319\executable_161,name_42,name_465,name_465,name_640,executable_185,executable_161,tenant_c,"c:\windows\microsoft.net\framework\v4.0.30319\mscorsvw.exe -startupevent 1d0 -interruptevent 0 -ngenprocess 224 -pipe 1cc -comment ""ngen worker process""",
,,,,"{""int"": null, ""string"": ""20948""}",c5021203e048fc1b1d4955a9f158711f,peZqe3wBXiyPKgRrBSkV,89.0,,user_process_execs,2021,10,13,20,,c:\dir_a_b\dir_b_ab\dir_c_i\dir_d_d\dir_e_j\dir_f_j\dir_g_j\executable_160,name_4,,name_445,name_641,asdf_0x195ab829c_executable_5,executable_160,tenant_c,"""C:\Users\mdurr\AppData\Local\Microsoft\Teams\current\Teams.exe"" --type=renderer --autoplay-policy=no-user-gesture-required --disable-background-timer-throttling --field-trial-handle=1676,6619220561224452332,14400767811152950679,131072 --enable-features=ContextBridgeMutability,WebComponentsV0Enabled,WinUseBrowserSpellChecker,WinUseHybridSpellChecker --disable-features=CookiesWithoutSameSiteMustBeSecure,SameSiteByDefaultCookies,SpareRendererForSitePerProcess --lang=en-US --enable-wer --ms-teams-less-cors=522133263 --app-user-model-id=com.squirrel.Teams.Teams --app-path=""C:\Users\mdurr\AppData\Local\Microsoft\Teams\current\resources\app.asar"" --device-scale-factor=1 --num-raster-threads=2 --enable-main-frame-before-activation --renderer-client-id=1396 --no-v8-untrusted-code-mitigations --mojo-platform-channel-handle=5900 /prefetch:1",
,,,,"{""int"": 10380, ""string"": null}",7426ae4b4e07ecfb5ed97b2ed5bd4c4a,MhAhgHwBD4PMs8-YD72E,1224.0,,user_process_execs,2021,10,14,18,c:\dir_a_j\dir_b_j32\executable_163,c:\dir_a_j\dir_b_j32\executable_170,name_9,name_461,name_452,name_640,executable_163,executable_170,tenant_c,taskhostw.exe keyroaming,
,,,,"{""int"": 8292, ""string"": null}",e5163defbf789a0e59a1f1f0f0177537,7iG7enwBACIhUi-kZp-3,,,user_process_execs,2021,10,13,17,asdf_0x197ab829c_executable_7,c:\dir_a_j\dir_b_j32\executable_192,name_81,name_571,name_571,name_640,asdf_0x197ab829c_executable_7,executable_192,tenant_c,c:\windows\system32\sppsvc.exe,
,,,,"{""int"": 232, ""string"": null}",6c203ff584ca3c6eeab31a44ec4c32ef,zAYkgXwBjd7GdOio_Poq,,,user_process_execs,2021,10,14,23,c:\dir_a_j\dir_b_j32\executable_398,c:\dir_a_j\dir_b_j32\executable_163,name_135,name_613,name_613,name_645,executable_398,executable_163,tenant_e,c:\windows\system32\svchost.exe -k localsystemnetworkrestricted -s scdeviceenum,
,,,,"{""int"": null, ""string"": """"}",ec01904f0ceaca02965a18ecb05d928b,K-b1f3wBLwEQS1RKuOxL,168.0,,user_process_execs,2021,10,14,17,,,name_184,,,,,,tenant_e,,
,,,,"{""int"": 7872, ""string"": null}",2e7a5ce4ccde281fc1cdee1e7ca1eb76,swveenwB1R6ZJf4-lQ6W,,,user_process_execs,2021,10,13,18,c:\dir_a_j\dir_b_j32\executable_398,c:\dir_a_j\dir_b_j32\dir_c_db\executable_172,name_48,name_510,name_510,name_640,executable_398,executable_172,tenant_c,c:\windows\system32\wbem\wmiapsrv.exe,
,,,,"{""int"": 6676, ""string"": null}",74aef8276914ae0aeda0c33fb15f859c,4fV5e3wBLwEQS1RKr-VP,,,user_process_execs,2021,10,13,20,c:\dir_a_j\dir_b_j32\executable_163,c:\dir_a_j\dir_b_j32\executable_171,name_2,name_442,name_442,name_643,executable_163,executable_171,tenant_e,"c:\windows\system32\cmd.exe /c ""c:\program files\pulseway\watchdog.bat""",
,,,,"{""int"": 18100, ""string"": null}",60ba53ba2cf7602fac7467b672fa4193,lxtyenwBXiyPKgRrrAWE,,,user_process_execs,2021,10,13,16,c:\dir_a_j\dir_b_j32\executable_163,c:\dir_a_j\dir_b_bh64\dir_c_db\executable_164,name_73,name_561,name_561,name_640,executable_163,executable_164,tenant_c,c:\windows\syswow64\wbem\wmiprvse.exe -secured -embedding,
